MicrotypeID,PerStartCost,DailyCostPerVehicle,geotype,DirectionalRouteMiles,SeniorFareDiscount,Headway,VehicleCapacity,VehicleSize,StopSpacingKM,PopulationMicrotypeID,VehicleRevenueHoursPerDay,VehicleRevenueMilesPerDay,CoveragePortion,StopSpacing,PassengerWait,PassengerWaitDedicated,MinStopTime,VehicleOperatingCostPerHour,PerEndCost,PerMileCost
1,1.8755957,1370,C,373.402706191663,0.5,386.844532546654,40.0,3.0,,7799,575.515750941609,8339.782806952,0.7877860098943772,400.0,6.0,3.0,7.0,68.5,0.0,0.0
2,1.7746306,1370,C,22945.4263275835,0.5,386.844532546654,40.0,3.0,,479245,35365.1809283256,512475.857330134,2.7328815907333146,400.0,6.0,3.0,7.0,68.5,0.0,0.0
3,1.7461449,1370,C,9215.41983292044,0.5,386.8445325466536,40.0,3.0,,192476,14203.4837387149,205822.289466713,0.9229854509916302,400.0,6.0,3.0,7.0,68.5,0.0,0.0
4,1.6027705,1370,C,2553.58806702556,0.5,386.8445325466543,40.0,3.0,,53335,3935.77799416217,57033.2499049602,1.692970010829722,400.0,6.0,3.0,7.0,68.5,0.0,0.0
5,1.6410918,1370,C,21023.9751921964,0.5,386.8445325466538,40.0,3.0,,439113,32403.698928481,469561.10369395,0.4203042387265259,400.0,6.0,3.0,7.0,68.5,0.0,0.0
6,1.4173441,1370,C,3200.32787408249,0.5,386.8445325466541,40.0,3.0,,66843,4932.58101553917,71477.8948794836,0.1392223004963513,400.0,6.0,3.0,7.0,68.5,0.0,0.0
