ModesAllowed,SubnetworkID,ModeTypeID
Auto-Bus-Bike,0,auto
Auto-Bus-Bike,20,auto
Auto-Bus-Bike,15,bike
Auto-Bus-Bike,15,bus
Auto-Bus-Bike,15,auto
Auto-Bus-Bike,10,bike
Auto-Bus-Bike,20,bus
Auto-Bus-Bike,10,auto
Auto-Bus-Bike,25,auto
Auto-Bus-Bike,25,bus
Auto-Bus-Bike,10,bus
Auto-Bus-Bike,20,bike
Auto-Bus-Bike,0,bus
Auto-Bus-Bike,5,bus
Auto-Bus-Bike,5,auto
Auto-Bus-Bike,25,bike
Auto-Bus-Bike,0,bike
Auto-Bus-Bike,5,bike
Bike,18,bike
Bike,23,bike
Bike,28,bike
Bike,3,bike
Bike,8,bike
Bike,13,bike
Bus,2,bus
Bus,27,bus
Bus,12,bus
Bus,17,bus
Bus,22,bus
Bus,7,bus
Rail,24,rail
Rail,14,rail
Rail,19,rail
Rail,9,rail
Rail,4,rail
Rail,29,rail
Walk,16,walk
Walk,11,walk
Walk,6,walk
Walk,26,walk
Walk,1,walk
Walk,21,walk
